date,input,target,pred,set
1990-01-01,0.0,0.0,0.20918983,train
1990-01-02,0.0,0.00046368961023238414,0.1514921,train
1990-01-03,0.0036477426108206578,0.0,0.09507162,train
1990-01-04,0.41905651774891106,0.0,0.06683744,train
1990-01-05,0.02112249743488527,0.0,0.03619296,train
1990-01-06,0.4998077570075177,0.05204253853960921,0.028082035,train
1990-01-07,0.9264276996122236,0.011982669159350777,0.0462685,train
1990-01-08,0.8134736641348417,0.009758371328399164,0.065889485,train
1990-01-09,0.003458524208837166,1.2533060096203688,0.048733525,train
1990-01-10,0.0,0.00853640509262113,0.030595936,train
1990-01-11,0.0001669282540760739,0.0,0.016552292,train
1990-01-12,0.0030210084192636415,0.2203518629832425,0.0061698034,train
1990-01-13,0.0007702073220708884,0.02972865302656582,0.0,train
1990-01-14,1.6891241621830981,0.0006868549261516074,0.05483868,train
1990-01-15,0.01595136971273449,0.0013087609875581114,0.04635226,train
1990-01-16,0.07365199846179674,0.9983638139836553,0.032223158,train
1990-01-17,0.00603656794878599,0.12000145840940835,0.019244365,train
1990-01-18,0.0,0.5109817557225924,0.008609347,train
1990-01-19,0.18323612834894096,0.05385367894620338,0.0044084117,train
1990-01-20,1.3466536095493757,0.04375960341059912,0.04551301,train
1990-01-21,0.0,0.0,0.037352614,train
1990-01-22,0.0,0.0,0.0232201,train
1990-01-23,6.869431054159708e-05,0.0,0.011979036,train
1990-01-24,0.11447437244603315,0.0,0.005670242,train
1990-01-25,0.013799402710794401,0.0,0.0,train
1990-01-26,7.060088923053347e-05,0.0,0.0,train
1990-01-27,2.9224118290416716,0.0,0.14157431,train
1990-01-28,0.5076321661301814,0.0,0.15380979,train
1990-01-29,2.7675442076322794,0.0,0.3748044,train
1990-01-30,0.0,0.0,0.34874338,train
1990-01-31,0.005694590957504678,0.0,0.28120506,train
1990-02-01,2.1048756088117955,0.06143291508710356,0.41386744,train
1990-02-02,0.00010334161176629361,0.2620465617656461,0.35494187,train
1990-02-03,0.0,0.03435826726000441,0.2655512,train
1990-02-04,0.0,4.71020126173832,0.17825517,train
1990-02-05,0.0,6.0776776699735375,0.10846362,train
1990-02-06,0.3544916235122296,0.23656717089810714,0.072578095,train
1990-02-07,7.573210931674301e-05,0.0,0.03981591,train
1990-02-08,0.0,0.025251076807832323,0.017140321,train
1990-02-09,9.240836431250979e-05,0.05988237945410533,0.0030413195,train
1990-02-10,0.000714493868419149,0.7395970617313532,0.0,train
1990-02-11,0.0013941405252304822,1.0711262314278747,0.0,train
1990-02-12,0.0,1.030840475230808,0.0,train
1990-02-13,0.0,0.18909768288830328,0.0,train
1990-02-14,0.02030768654552437,0.026541596183215204,0.0,train
1990-02-15,0.0,0.0,0.0,train
1990-02-16,0.004910849590344921,0.016879434460389618,0.0,train
1990-02-17,0.7581716288553542,0.15915020411517974,0.0,train
1990-02-18,1.4932493150134423,0.8358013280434632,0.05935069,train
1990-02-19,2.105523326864479,0.0010150566060261356,0.18910626,train
1990-02-20,0.0,0.05901207885370942,0.16363764,train
1990-02-21,0.0,0.0,0.122556604,train
1990-02-22,0.1390524990341302,0.4185108379651947,0.0904823,train
1990-02-23,6.441053664469787e-05,0.6377473891450871,0.05921542,train
1990-02-24,0.00016087907242698528,0.021931474053268413,0.03477233,train
1990-02-25,0.21481280216361506,0.01369892391104331,0.022520415,train
1990-02-26,0.0867185126049432,0.0,0.012567557,train
1990-02-27,0.4133000700888776,0.0,0.013221227,train
1990-02-28,0.0,0.14417473633092265,0.0068187937,train
1990-03-01,0.0,1.0329357579660507,0.0,train
1990-03-02,3.0709358944543,0.037046328300733386,0.16256887,train
1990-03-03,0.5307619569928669,0.0,0.17685643,train
1990-03-04,0.3610390266967267,0.016915035050958784,0.16095386,train
1990-03-05,0.038769617767029654,0.6065190267891987,0.12083987,train
1990-03-06,0.2499686655896946,1.1334623998045994,0.09286413,train
1990-03-07,0.0,1.6908370212620702,0.061117925,train
1990-03-08,0.0,0.052256362461090305,0.035916112,train
1990-03-09,0.017549686590900827,0.0,0.018268622,train
1990-03-10,0.0034921712571982185,0.0,0.005938329,train
1990-03-11,0.005529886951772623,0.0,0.0,train
1990-03-12,0.12511521325349997,0.3622975937759376,0.0,train
1990-03-13,2.771576942593586,0.09102828690795436,0.1300328,train
1990-03-14,1.2192621509247519,0.004340175961912718,0.20007998,train
1990-03-15,0.010125262817077372,0.08648693857605773,0.1654036,train
1990-03-16,8.319342090212988e-05,0.24130542548998157,0.12084284,train
1990-03-17,0.0,0.0,0.081351824,train
1990-03-18,0.04331441139876887,0.00010488916486535015,0.051677115,train
1990-03-19,0.009253337979866024,0.0038114638873902535,0.029200383,train
1990-03-20,0.12016205499977223,0.0,0.015804894,train
1990-03-21,3.394116983471044,0.0,0.21570465,train
1990-03-22,0.8793773385807281,0.015381122681283938,0.26444393,train
1990-03-23,0.03637966264100152,0.00025928082292401037,0.2199767,train
1990-03-24,0.0,0.0,0.16156165,train
1990-03-25,0.06771874857292265,0.0,0.11199216,train
1990-03-26,0.0,0.0036770056497140323,0.070334904,train
1990-03-27,0.0,0.0,0.039825,train
1990-03-28,0.0,1.2903878647719367,0.018916957,train
1990-03-29,0.0,0.3478320815375921,0.0051355287,train
1990-03-30,0.0,0.0,0.0,train
1990-03-31,0.10209376568746781,0.0036770056497140323,0.0,train
1990-04-01,0.0,0.06853389788000083,0.0,train
1990-04-02,8.116978388927717e-07,0.03865055893738606,0.0,train
1990-04-03,0.04117109451630257,0.002288805378806072,0.0,train
1990-04-04,4.562525471035595,0.06549328857010844,0.30364066,train
1990-04-05,8.002765914083859e-05,0.09172654289428658,0.27437037,train
1990-04-06,0.000545117763571934,0.4786074091983164,0.21385399,train
1990-04-07,0.35822813796889286,0.055397153368761685,0.17431504,train
1990-04-08,0.009102591812412297,0.022445769308731107,0.12004713,train
1990-04-09,0.0,0.9329339296691748,0.075229116,train
